Name,Type1,Type2,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,FireRed,LeafGreen,Emerald,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends: Arceus,Scarlet,Violet
Metapod,Bug,None,"Route 25, Viridian Forest","Route 24, 25, Viridian Forest",Viridian Forest,"Route 2, 26, 27, 30, 31, 34, 35, 36, 37, 38, 39, Azalea Town, Ilex Forest, Lake of Rage, National Park",National Park,"Route 24, 25, Ilex Forest, National Park",Trade/migrate from another game,Trade/migrate from another game,"Route 24, 25, Pattern Bush, Viridian Forest","Route 24, 25, Pattern Bush, Viridian Forest",Trade/migrate from another game,Eterna Forest,Eterna Forest,Eterna Forest,"Route 2, 30, 31, 47, Ilex Forest, National Park, Viridian Forest",National Park,Trade/migrate from another game,Route 12,Trade/migrate from another game,Trade/migrate from another game,Evolve Caterpie,Santalune Forest,Trade/migrate from another game,Trade/migrate from another game,"Route 1, 5, Melemele Meadow, Lush Jungle","Route 1, 5, Melemele Meadow, Lush Jungle","Route 5, Melemele Meadow, Lush Jungle","Route 5, Melemele Meadow, Lush Jungle",Viridian Forest,Viridian Forest,Rolling Fields,Rolling Fields,Evolve Caterpie,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game
Butterfree,Bug,Flying,Evolve Caterpie/Metapod,Evolve Caterpie/Metapod,Evolve Caterpie/Metapod,"Route 2, 26, 27, 34, 35, 36, 37, 38, 39, Azalea Town, Ilex Forest, Lake of Rage, National Park",National Park,"Route 2, 24, 25, Ilex Forest, National Park",Trade/migrate from another game,Trade/migrate from another game,Evolve Caterpie/Metapod,Evolve Caterpie/Metapod,Trade/migrate from another game,Evolve Caterpie/Metapod,Evolve Caterpie/Metapod,Evolve Caterpie/Metapod,"Route 2, 47, Ilex Forest, National Park, Viridian Forest",National Park,Trade/migrate from another game,Route 12,Trade/migrate from another game,Trade/migrate from another game,Evolve Caterpie/Metapod,Evolve Caterpie/Metapod,Trade/migrate from another game,Trade/migrate from another game,"Route 5, Melemele Meadow, Lush Jungle","Route 5, Melemele Meadow, Lush Jungle","Route 5, Melemele Meadow, Lush Jungle","Route 5, Melemele Meadow, Lush Jungle",Viridian Forest,Evolve Caterpie/Metapod,"Rolling Fields, East Lake Axewell, Slumbering Weald, Giant's Mirror","Rolling Fields, East Lake Axewell, Slumbering Weald, Giant's Mirror",Evolve Caterpie/Metapod,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game
Weedle,Bug,Poison,"Route 2, 24, 25, Viridian Forest","Route 25, Viridian Forest",Trade/migrate from another game,National Park,"Route 2, 26, 27, 30, 31, 34, 35, 36, 37, 38, 39, Azalea Town, Ilex Forest, Lake of Rage, National Park","Route 30, 31, Ilex Forest, National Park",Trade/migrate from another game,Trade/migrate from another game,"Route 2, 24, 25, Pattern Bush, Viridian Forest","Route 2, 24, 25, Pattern Bush, Viridian Forest",Trade/migrate from another game,Route 204,Route 204,"Route 204, Eterna Forest",National Park,"Route 2, 30, 31, Ilex Forest, National Park, Viridian Forest",Breed Kakuna/Beedrill,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,"Route 2, Santalune Forest",Santalune Forest,Breed Kakuna/Beedrill,Breed Kakuna/Beedrill,Trade/migrate from another game,Trade/migrate from another game,Breed Kakuna/Beedrill,Breed Kakuna/Beedrill,"Route 2, Viridian Forest","Route 2, Viridian Forest",Not available in this game,Not available in this game,Trade/migrate from another game,"Spacious Cave, Grassland Cave, Swampy Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern, Bogsunk Cavern",Not available in this game,Not available in this game,Not available in this game
Kakuna,Bug,Poison,"Route 24, 25, Viridian Forest","Route 25, Viridian Forest",Trade/migrate from another game,National Park,"Route 2, 26, 27, 30, 31, 34, 35, 36, 37, 38, 39, Azalea Town, Ilex Forest, Lake of Rage, National Park","Ilex Forest, National Park",Trade/migrate from another game,Trade/migrate from another game,"Route 24, 25, Pattern Bush, Viridian Forest","Route 24, 25, Pattern Bush, Viridian Forest",Trade/migrate from another game,Eterna Forest,Eterna Forest,Eterna Forest,National Park,"Route 2, 30, 31, 47, Ilex Forest, National Park, Viridian Forest",Route 12,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Santalune Forest,Evolve Weedle,Safari Zone,Safari Zone,Trade/migrate from another game,Trade/migrate from another game,Evolve Weedle,Evolve Weedle,Viridian Forest,Viridian Forest,Not available in this game,Not available in this game,Trade/migrate from another game,Evolve Weedle,Not available in this game,Not available in this game,Not available in this game
Beedrill,Bug,Poison,Evolve Weedle/Kakuna,Evolve Weedle/Kakuna,Trade/migrate from another game,National Park,"Route 2, 26, 27, 34, 35, 36, 37, 38, 39, Azalea Town, Ilex Forest, Lake of Rage, National Park","Ilex Forest, National Park",Trade/migrate from another game,Trade/migrate from another game,Evolve Weedle/Kakuna,Evolve Weedle/Kakuna,Trade/migrate from another game,Evolve Weedle/Kakuna,Evolve Weedle/Kakuna,Evolve Weedle/Kakuna,National Park,"Route 2, 47, Ilex Forest, National Park, Viridian Forest",Route 12,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Weedle/Kakuna,Evolve Weedle/Kakuna,Evolve Weedle/Kakuna,Evolve Weedle/Kakuna,Trade/migrate from another game,Trade/migrate from another game,Route 4,Route 4,Evolve Weedle/Kakuna,Viridian Forest,Not available in this game,Not available in this game,Trade/migrate from another game,Evolve Weedle/Kakuna,Not available in this game,Not available in this game,Not available in this game
Pidgey,Normal,Flying,"Route 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 21, 24, 25","Route 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 21, 24, 25","Route 1, 2, 5, 6, 7, 8, 11, 12, 13, 21, 24, 25, Viridian Forest","Route 1, 2, 5, 6, 25, 29, 30, 31, 35, 36, 37, National Park","Route 1, 2, 5, 6, 25, 29, 30, 31, 35, 36, 37, National Park","Route 1, 2, 5, 25, 29, 30, 31, 32, 34, 35, 36, 37, Ilex Forest, National Park",Trade/migrate from another game,Trade/migrate from another game,"Route 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 24, 25, Berry Forest, Bond Bridge, Five Isle Meadow","Route 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 24, 25, Berry Forest, Bond Bridge, Five Isle Meadow",Trade/migrate from another game,Route 229,Route 229,Route 229,"Route 1, 2, 5, 6, 25, 29, 30, 31, 35, 36, 37, National Park, Viridian Forest","Route 1, 2, 5, 6, 25, 29, 30, 31, 35, 36, 37, National Park, Viridian Forest",Trade/migrate from another game,White Forest,Trade/migrate from another game,Trade/migrate from another game,"Route 2, 3","Route 2, 3",Breed Pidgeotto/Pidgeot,Breed Pidgeotto/Pidgeot,Trade/migrate from another game,Trade/migrate from another game,Breed Pidgeotto/Pidgeot,Breed Pidgeotto/Pidgeot,"Route 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, Cerulean City, Cinnabar Island, Fuchsia City, Lavender Town, Pallet Town, Pewter City, Vermilion City, Viridian City, Viridian Forest","Route 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, Cerulean City, Cinnabar Island, Fuchsia City, Lavender Town, Pallet Town, Pewter City, Vermilion City, Viridian City, Viridian Forest",Not available in this game,Not available in this game,Route 229,Route 229,Not available in this game,Not available in this game,Not available in this game
Pidgeotto,Normal,Flying,"Route 14, 15, 21","Route 14, 15, 21","Route 5, 6, 7, 8, 11, 12, 13, 14, 15, 21, 24, 25, Viridian Forest","Route 2, 8, 13, 14, 15, 25, 37, 43","Route 2, 8, 13, 14, 15, 25, 37, 43","Route 2, 5, 8, 11, 13, 14, 15, 25, 37, 38, 39, 43",Trade/migrate from another game,Trade/migrate from another game,"Route 13, 14, 15, Berry Forest, Bond Bridge, Five Isle Meadow","Route 13, 14, 15, Berry Forest, Bond Bridge, Five Isle Meadow",Trade/migrate from another game,Evolve Pidgey,Evolve Pidgey,Evolve Pidgey,"Route 2, 8, 13, 14, 15, 25, 37, 43, Viridian Forest","Route 2, 8, 13, 14, 15, 25, 37, 43, Viridian Forest",Trade/migrate from another game,Evolve Pidgey,Trade/migrate from another game,Trade/migrate from another game,Evolve Pidgey,Evolve Pidgey,Safari Zone,Safari Zone,Trade/migrate from another game,Trade/migrate from another game,Evolve Pidgey,Evolve Pidgey,"Route 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, Cerulean City, Cinnabar Island, Fuchsia City, Lavender Town, Pallet Town, Pewter City, Vermilion City, Viridian City","Route 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, Cerulean City, Cinnabar Island, Fuchsia City, Lavender Town, Pallet Town, Pewter City, Vermilion City, Viridian City",Not available in this game,Not available in this game,Evolve Pidgey,Evolve Pidgey,Not available in this game,Not available in this game,Not available in this game
Pidgeot,Normal,Flying,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Trade/migrate from another game,Trade/migrate from another game,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Trade/migrate from another game,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Trade/migrate from another game,Evolve Pidgey/Pidgeotto,Trade/migrate from another game,Trade/migrate from another game,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Trade/migrate from another game,Trade/migrate from another game,Route 10,Route 10,"Route 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, Cerulean City, Cinnabar Island, Fuchsia City, Lavender Town, Pallet Town, Pewter City, Vermilion City, Viridian City","Route 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, Cerulean City, Cinnabar Island, Fuchsia City, Lavender Town, Pallet Town, Pewter City, Vermilion City, Viridian City",Not available in this game,Not available in this game,Evolve Pidgey/Pidgeotto,Evolve Pidgey/Pidgeotto,Not available in this game,Not available in this game,Not available in this game
Rattata,Normal,None,"Route 1, 2, 4, 9, 16, 21, 22","Route 1, 2, 4, 9, 16, 21, 22","Route 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 18, 21, 22, Pokémon Mansion","Route 1, 3, 4, 7, 9, 11, 22, 29, 30, 31, 32, 33, 34, 38, 39, 46, Burned Tower, Mt. Mortar, Sprout Tower, Tin Tower, Tohjo Falls, Union Cave","Route 1, 3, 4, 7, 9, 11, 22, 29, 30, 31, 32, 33, 34, 46, Burned Tower, Mt. Mortar, Sprout Tower, Tin Tower, Tohjo Falls, Union Cave","Route 1, 3, 4, 6, 7, 9, 11, 21, 22, 29, 32, 33, 34, 38, 39, 42, 46, Burned Tower, Mt. Mortar, Sprout Tower, Tin Tower, Tohjo Falls, Union Cave",Trade/migrate from another game,Trade/migrate from another game,"Route 1, 2, 4, 9, 16, 17, 18, 22, Pokémon Mansion","Route 1, 2, 4, 9, 16, 17, 18, 22, Pokémon Mansion",Trade/migrate from another game,"Route 225, 226","Route 225, 226","Route 225, 226","Route 1, 3, 4, 7, 9, 11, 22, 29, 31, 32, 33, 34, 38, 39, 46, Bell Tower, Burned Tower, Mt. Mortar, Sprout Tower, Tohjo Falls, Union Cave","Route 1, 3, 4, 7, 9, 11, 22, 29, 30, 31, 32, 33, 34, 46, Bell Tower, Burned Tower, Mt. Mortar, Sprout Tower, Tohjo Falls, Union Cave",Breed Raticate,Breed Raticate,"Castelia City, Castelia Sewers, Relic Passage","Castelia City, Castelia Sewers, Relic Passage",Trade/migrate from another game,Trade/migrate from another game,Route 117,Route 117,"Route 1, 2, 3, 4, 6, 8, Kala'e Bay, Hau'oli City, Verdant Cavern","Route 1, 2, 3, 4, 6, 8, Kala'e Bay, Hau'oli City, Verdant Cavern","Route 1, 2, 4, 6, 8, Kala'e Bay","Route 1, 2, 4, 6, 8, Kala'e Bay, Verdant Cavern","Route 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 21, 22, Cerulean City, Pokémon Mansion","Route 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 21, 22, Cerulean City, Pokémon Mansion",Not available in this game,Not available in this game,"Route 225, 226, Spacious Cave, Grassland Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern","Route 225, 226, Spacious Cave, Grassland Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern",Not available in this game,Not available in this game,Not available in this game
Raticate,Normal,None,"Route 16, 17, 18, 21","Route 16, 17, 18, 21","Route 9, 10, 11, 16, 18, 21, Pokémon Mansion","Route 7, 9, 10, 26, 27, 38, 39, Burned Tower, Mt. Mortar, Tohjo Falls, Union Cave","Route 7, 9, 10, 26, 27, 38, 39, Burned Tower, Mt. Mortar, Tohjo Falls, Union Cave","Route 1, 3, 4, 6, 7, 9, 10, 11, 21, 26, 27, 38, 39, 42, 43, Burned Tower, Mt. Mortar, Tohjo Falls, Union Cave",Trade/migrate from another game,Trade/migrate from another game,"Route 16, 17, 18, Pokémon Mansion","Route 16, 17, 18, Pokémon Mansion",Trade/migrate from another game,"Route 225, 226","Route 225, 226","Route 225, 226","Route 7, 9, 10, 26, 27, 38, 39, 47, Burned Tower, Mt. Mortar, Tohjo Falls, Union Cave","Route 7, 9, 10, 26, 27, 38, 39, 47, Burned Tower, Mt. Mortar, Tohjo Falls, Union Cave",Dreamyard,Dreamyard,"Dreamyard, Relic Passage, Strange House","Dreamyard, Relic Passage, Strange House",Trade/migrate from another game,Trade/migrate from another game,Route 118,Route 118,"Route 10, 11, 14, 15, 16, 17, Akala Outskirts, Tapu Village, Malie City, Poni Wilds, Ancient Poni Path, Poni Grove, Poni Plains, Poni Gauntlet","Route 10, 11, 14, 15, 16, 17, Akala Outskirts, Tapu Village, Malie City, Poni Wilds, Ancient Poni Path, Poni Grove, Poni Plains, Poni Gauntlet","Route 8, 10, 14, 15, 16, 17, Akala Outskirts, Tapu Village, Mount Lanakila, Poni Plains","Route 8, 10, 14, 15, 16, 17, Akala Outskirts, Tapu Village, Mount Lanakila, Poni Plains, Heahea Beach","Route 7, 8, 9, 10, 11, 16, 17, 18, 21, Pokémon Mansion","Route 7, 8, 9, 10, 11, 16, 17, 18, 21, Pokémon Mansion",Not available in this game,Not available in this game,"Route 225, 226, Spacious Cave, Grassland Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern","Route 225, 226, Spacious Cave, Grassland Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern",Not available in this game,Not available in this game,Not available in this game
Spearow,Normal,Flying,"Route 3, 4, 9, 10, 11, 16, 17, 18, 22, 23","Route 3, 4, 9, 10, 11, 16, 17, 18, 22, 23","Route 3, 4, 9, 16, 18, 22","Route 3, 4, 7, 9, 10, 22, 29, 30, 31, 32, 33, 35, 42, 43, 44, 45, 46","Route 3, 4, 7, 9, 10, 22, 29, 30, 31, 32, 33, 35, 42, 43, 44, 45, 46","Route 3, 4, 7, 9, 10, 22, 33, 35, 42, 44, 46, Azalea Town",Trade/migrate from another game,Trade/migrate from another game,"Route 3, 4, 9, 10, 11, 16, 17, 18, 22, 23, Canyon Entrance, Cape Brink, Kindle Road, Mt. Ember, Ruin Valley, Treasure Beach, Water Path","Route 3, 4, 9, 10, 11, 16, 17, 18, 22, 23, Canyon Entrance, Cape Brink, Kindle Road, Mt. Ember, Ruin Valley, Treasure Beach, Water Path",Trade/migrate from another game,"Route 225, 226","Route 225, 226",Route 225,"Route 3, 4, 7, 9, 10, 11, 16, 22, 33, 42, 44, 45, 46, 47, Azalea Town, Vermilion City","Route 3, 4, 7, 9, 10, 11, 16, 22, 33, 42, 44, 45, 46, 47, Azalea Town, Vermilion City",Breed Fearow,Breed Fearow,Trade/migrate from another game,Trade/migrate from another game,Breed Fearow,Breed Fearow,Trade/migrate from another game,Trade/migrate from another game,"Route 2, 3, Poké Pelago","Route 2, 3, Poké Pelago","Route 2, 3","Route 2, 3","Route 3, 4, 9, 10, 22, 23","Route 3, 4, 9, 10, 22, 23",Not available in this game,Not available in this game,"Route 225, 226","Route 225, 226",Not available in this game,Not available in this game,Not available in this game
