"movie number""line number" "character" "dialogue"
"IV" "125" "THREEPIO" "Uh, I'm quite sure you'll be very pleased with that one, sir.  He really is in first-class condition.  I've worked with him before.  Here he comes."
"IV" "126" "LUKE" "Okay, let's go."
"IV" "127" "THREEPIO" "Now, don't forget this!  Why I should stick my neck out for you is quite beyond my capacity!"
"IV" "128" "THREEPIO" "Thank the maker!  This oil bath is going to feel so good.  I've got such a bad case of dust contamination, I can barely move!"
"IV" "129" "LUKE" "It just isn't fair.  Oh, Biggs is right.  I'm never gonna get out of here!"
"IV" "130" "THREEPIO" "Is there anything I might do to help? "
"IV" "131" "LUKE" "Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!"
"IV" "132" "THREEPIO" "I don't think so, sir.  I'm only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I'm not even sure which planet I'm on."
"IV" "133" "LUKE" "Well, if there's a bright center to the universe, you're on the planet that it's farthest from."
"IV" "134" "THREEPIO" "I see, sir."
"IV" "135" "LUKE" "Uh, you can call me Luke."
"IV" "136" "THREEPIO" "I see, sir Luke."
"IV" "137" "LUKE" "Just Luke."
"IV" "138" "THREEPIO" "And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo."
"IV" "139" "LUKE" "Hello."
"IV" "140" "LUKE" "You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action."
"IV" "141" "THREEPIO" "With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all."
"IV" "142" "LUKE" "You know of the Rebellion against the Empire?"
"IV" "143" "THREEPIO" "That's how we came to be in your service, if you take my meaning, sir."
"IV" "144" "LUKE" "Have you been in many battles?"
"IV" "145" "THREEPIO" "Several, I think.  Actually, there's not much to tell.  I'm not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways."
"IV" "146" "LUKE" "Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or..."
"IV" "147" "LEIA" "Help me, Obi-Wan Kenobi.  You'remy only hope."
"IV" "148" "LUKE" "What's this?"
"IV" "149" "THREEPIO" "What is what?!?  He asked you a question...What is that?"
"IV" "150" "LEIA" "Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope."
"IV" "151" "THREEPIO" "Oh, he says it's nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind."
"IV" "152" "LUKE" "Who is she?  She's beautiful."
"IV" "153" "THREEPIO" "I'm afraid I'm not quite sure, sir."
"IV" "154" "LEIA" "Help me, Obi-Wan Kenobi..."
"IV" "155" "THREEPIO" "I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to..."
"IV" "156" "LUKE" "Is there more to this recording?"
"IV" "157" "THREEPIO" "Behave yourself, Artoo.  You're going to get us in trouble.  It's all right, you can trust him.  He's our new master."
"IV" "158" "THREEPIO" "He says he's the property of Obi-Wan Kenobi, a resident of these parts.  And it's a private message for him.  Quite frankly, sir, I don't know what he's talking about.  Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric."
"IV" "159" "LUKE" "Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?"
"IV" "160" "THREEPIO" "I beg your pardon, sir, but do you know what he's talking about?"
"IV" "161" "LUKE" "Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  He's kind of a strange old hermit."
"IV" "162" "LUKE" "I wonder who she is.  It sounds like she's in trouble.  I'd better play back the whole thing."
"IV" "163" "THREEPIO" "He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording."
"IV" "164" "LUKE" "H'm?  Oh, yeah, well, I guess you're too small to run away on me if I take this off!  Okay."
"IV" "165" "LUKE" "There you go."
"IV" "166" "LUKE" "Well, wait a minute.  Where'd she go?  Bring her back!  Play back the entire message."
"IV" "167" "THREEPIO" "been playing.  The one you're carrying inside your rusty innards! "
"IV" "168" "AUNT BERU" "Luke?  Luke!  Come to dinner!"
"IV" "169" "LUKE" "All right, I'll be right there, Aunt Beru."
"IV" "170" "THREEPIO" "I'm sorry, sir, but he appears to have picked up a slight flutter."
"IV" "171" "LUKE" "Well, see what you can do with him.  I'll be right back."
"IV" "172" "THREEPIO" "Just you reconsider playing that message for him."
"IV" "173" "THREEPIO" "No, I don't think he likes you at all."
"IV" "174" "THREEPIO" "No, I don't like you either."
"IV" "175" "LUKE" "You know, I think that R2 unit we bought might have been stolen."
"IV" "176" "OWEN" "What makes you think that?"
"IV" "177" "LUKE" "Well, I stumbled across a recording while I was cleaning him.  He says he belongs to someone called Obi-Wan Kenobi."
"IV" "178" "LUKE" "I thought he might have meant Ben.  Do you know what he's talking about?  Well, I wonder if he's related to Ben."
"IV" "179" "OWEN" "That old man's just a crazy wizard.  Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed.  That'll be the end of it.  It belongs to us now."
"IV" "180" "LUKE" "But what if this Obi-Wan comes looking for him?"
"IV" "181" "OWEN" "He won't, I don't think he exists any more.  He died about the same time as your father."
"IV" "182" "LUKE" "He knew my father?"
"IV" "183" "OWEN" "I told you to forget it.  Your only concern is to prepare the new droids for tomorrow.  In the morning I want them on the south ridge working out those condensers."
"IV" "184" "LUKE" "Yes, sir.  I think those new droids are going to work out fine.  In fact, I, uh, was also thinking about our agreement about my staying on another season.  And if these new droids do work out, I want to transmit my application to the Academy this year."
"IV" "185" "OWEN" "You mean the next semester before harvest?"
"IV" "186" "LUKE" "Sure, there're more than enough droids."
"IV" "187" "OWEN" "Harvest is when I need you the most.  Only one more season.  This year we'll make enough on the harvest so I'll be able to hire some more hands.  And then you can go to the Academy next year."
"IV" "188" "OWEN" "You must understand I need you here, Luke."
"IV" "189" "LUKE" "But it's a whole 'nother year."
"IV" "190" "OWEN" "Look, it's only one more season."
"IV" "191" "LUKE" "Yeah, that's what you said last year when Biggs and Tank left."
"IV" "192" "AUNT BERU" "Where are you going?"
"IV" "193" "LUKE" "It looks like I'm going nowhere.  I have to finish cleaning those droids."
"IV" "194" "AUNT BERU" "Owen, he can't stay here forever.  Most of his friends have gone.  It means so much to him."
"IV" "195" "OWEN" "I'll make it up to him next year.  I promise."
"IV" "196" "AUNT BERU" "Luke's just not a farmer, Owen.  He has too much of his father in him."
"IV" "197" "OWEN" "That's what I'm afraid of."
"IV" "198" "LUKE" "What are you doing hiding there?"
"IV" "199" "THREEPIO" "It wasn't my fault, sir.  Please don't deactivate me.  I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission."
"IV" "200" "LUKE" "Oh, no!"
"IV" "201" "THREEPIO" "That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I can't understand their logic at times. "
"IV" "202" "LUKE" "How could I be so stupid?  He's nowhere in sight.  Blast it!"
"IV" "203" "THREEPIO" "Pardon me, sir, but couldn't we go after him?"
"IV" "204" "LUKE" "It's too dangerous with all the Sand People around.  We'll have to wait until morning."
"IV" "205" "OWEN" "Luke, I'm shutting the power down for the night."
"IV" "206" "LUKE" "All right, I'll be there in a few minutes.  Boy, am I gonna get it."
"IV" "207" "LUKE" "You know that little droid is going to cause me a lot of trouble."
"IV" "208" "THREEPIO" "Oh, he excels at that, sir."
"IV" "209" "OWEN" "Luke?  Luke?  Luke?  Where could he be loafing now!"
"IV" "210" "OWEN" "Have you seen Luke this morning?"
"IV" "211" "AUNT BERU" "He said he had some things to do before he started today, so he left early."
"IV" "212" "OWEN" "Uh?  Did he take those two new droids with him?"
"IV" "213" "AUNT BERU" "I think so."
"IV" "214" "OWEN" "Well, he'd better have those units in the south range repaired bemidday or there'll be hell to pay!"
"IV" "215" "LUKE" "How's that."
"IV" "216" "LUKE" "Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isn't going to take this very well."
"IV" "217" "THREEPIO" "Sir, would it help if you told him it was my fault."
"IV" "218" "LUKE" "Sure.  He needs you.  He'd probably only deactivate you for a day or so..."
"IV" "219" "THREEPIO" "Deactivate!  Well, on the other hand if you hadn't removed his restraining bolt..."
"IV" "220" "LUKE" "Wait, there's something dead ahead on the scanner.  It looks like our droid... hit the accelerator."
"IV" "221" "LUKE" "Hey, whoa, just where do you think you're going?"
"IV" "222" "THREEPIO" "Master Luke here is your rightful owner.  We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me of your mission, either.  You're fortunate he doesn't blast you into a million pieces right here."
"IV" "223" "LUKE" "Well, come on. It's getting late.  I only hope we can get back before Uncle Owen really blows up."
"IV" "224" "THREEPIO" "If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop."
"IV" "225" "LUKE" "No, he's not going to try anything."
"IV" "226" "LUKE" "What's wrong with him now?"
"IV" "227" "THREEPIO" "Oh my... sir, he says there are several creatures approaching from the southeast."
"IV" "228" "LUKE" "Sand People!  Or worse!  Come on, let's have a look.  Come on."
"IV" "229" "LUKE" "There are two Banthas down there but I don't see any... wait a second, they're Sand People all right.  I can see one of them now."
"IV" "230" "BEN" "Hello there!  Come here my little friend.  Don't be afraid."
"IV" "231" "BEN" "Don't worry, he'll be all right."
"IV" "232" "LUKE" "What happened?"
"IV" "233" "BEN" "Rest easy, son, you've had a busy day.  You're fortunate you're still in one piece."
"IV" "234" "LUKE" "Ben?  Ben Kenobi!  Boy, am I glad to see you! "
"IV" "235" "BEN" "The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far?"
"IV" "236" "LUKE" "Oh, this little droid!  I think he's searching for his former master...  I've never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who he's talking about?"
"IV" "237" "BEN" "Obi-Wan Kenobi... Obi-Wan?  Now thats a name I haven't heard in a long time... a long time."
"IV" "238" "LUKE" "I think my uncle knew him.  He said he was dead."
"IV" "239" "BEN" "Oh, he's not dead, no... not yet."
"IV" "240" "LUKE" "You know him!"
"IV" "241" "BEN" "Well of course, of course I know him.  He's me!  I haven't gone by the name Obi-Wan since oh, before you were born."
"IV" "242" "LUKE" "Then the droid does belong to you."
"IV" "243" "BEN" "Don't seem to remember ever owning a droid.  Very interesting... "
"IV" "244" "BEN" "I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers."
"IV" "245" "LUKE" "... Threepio!"
"IV" "246" "THREEPIO" "Where am I?  I must have taken a bad step..."
"IV" "247" "LUKE" "Can you stand?  We've got to get out of here before the Sand People return."
"IV" "248" "THREEPIO" "I don't think I can make it.  You go on, Master Luke.  There's no sense in you risking yourself on my account.  I'm done for."
"IV" "249" "LUKE" "No, you're not.  What kind of talk is that?"
"IV" "250" "BEN" "Quickly, son... they're on the move."
"IV" "251" "LUKE" "No, my father didn't fight in the wars.  He was a navigator on a spice freighter."
"IV" "252" "BEN" "That's what your uncle told you.  He didn't hold with your father's ideals.  Thought he should have stayed here and not gotten involved."
"IV" "253" "LUKE" "You fought in the Clone Wars?"
"IV" "254" "BEN" "Yes, I was once a Jedi Knight the same as your father."
"IV" "255" "LUKE" "I wish I'd known him."
"IV" "256" "BEN" "He was the best star-pilot in the galaxy, and a cunning warrior.  I understand you've become quite a good pilot yourself.  And he was a good friend.  Which reminds me..."
"IV" "257" "BEN" "I have something here for you.  Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did. "
"IV" "258" "THREEPIO" "Sir, if you'll not be needing me, I'll close down for awhile."
"IV" "259" "LUKE" "Sure, go ahead."
"IV" "260" "LUKE" "What is it?"
"IV" "261" "BEN" "Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster."
"IV" "262" "BEN" "An elegant weapon for a morecivilized time.  For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic.  Before the dark times, before the Empire."
"IV" "263" "LUKE" "How did my father die?"
"IV" "264" "BEN" "A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights.  He betrayed and murdered your father.  Now the Jedi are all but extinct.  Vader was seduced by the dark side of the Force."
"IV" "265" "LUKE" "The Force?"
"IV" "266" "BEN" "Well, the Force is what gives the Jedi his power.  It's an energy field created by all living things.  It surrounds us and penetrates us.  It binds the galaxy together."
"IV" "267" "BEN" "Now, let's see if we can't figure out what you are, my little friend.  And where you come from."
"IV" "268" "LUKE" "I saw part of the message he was..."
"IV" "269" "BEN" "I seem to have found it."
"IV" "270" "LEIA" "General Kenobi, years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me, Obi-Wan Kenobi, you're my only hope."
"IV" "271" "BEN" "You must learn the ways of the Force if you're to come with me to Alderaan."
"IV" "272" "LUKE" "Alderaan?  I'm not going to Alderaan.  I've got to go home.  It's late, I'm in for it as it is."
"IV" "273" "BEN" "I need your help, Luke.  I'm getting too old for this sort of thing.She needs your help."
"IV" "274" "LUKE" "I can't get involved!  I've got work to do!  It's not that I like the Empire.  I hate it!  But there's nothing I can do about it right now.  It's such a long way from here."
"IV" "275" "BEN" "That's your uncle talking."
"IV" "276" "LUKE" "Oh, God, my uncle.  How am I ever going to explain this?"
"IV" "277" "BEN" "Learn about the Force, Luke."
"IV" "278" "LUKE" "Look, I can take you as far as Anchorhead.  You can get a transport there to Mos Eisley or wherever you're going."
"IV" "279" "BEN" "You must do what you feel is right, of course."
"IV" "280" "TAGGE" "Until this battle station is fully operational we are vulnerable.  The Rebel Alliance is too well equipped.  They're more dangerous than you realize."
"IV" "281" "MOTTI" "Dangerous to your starfleet, Commander; not to this battle station!"
"IV" "282" "TAGGE" "The Rebellion will continue to gain support in the Imperial Senate as long as...."
"IV" "283" "TARKIN" "The Imperial Senate will no longer be of any concern to us.  I've just received word that the Emperor has dissolved the council permanently.  The last remnants of the Old Republic have been swept away."
"IV" "284" "TAGGE" "That's impossible!  How will the Emperor maintain control without the bureaucracy?"
"IV" "285" "TARKIN" "The regional governors now have direct control over territories.  Fear will keep the local systems in line.  Fear of this battle station."
"IV" "286" "TAGGE" "And what of the Rebellion?  If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it."
"IV" "287" "VADER" "The plans you refer to will soon be back in our hands."
"IV" "288" "MOTTI" "Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained.  This station is now the ultimate power in the universe.  I suggest we use it!"
"IV" "289" "VADER" "Don't be too proud of this technological terror you've constructed.  The ability to destroy a planet is insignificant next to the power of the Force."
"IV" "290" "MOTTI" "Don't try to frighten us with your sorcerer's ways, Lord Vader.  Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the Rebel's hidden fort..."
"IV" "291" "VADER" "I find your lack of faith disturbing."
"IV" "292" "TARKIN" "Enough of this!  Vader, release him!"
"IV" "293" "VADER" "As you wish."
"IV" "294" "TARKIN" "This bickering is pointless.  Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational.  We will then crush the Rebellion with one swift stroke."
"IV" "295" "LUKE" "It looks like Sand People did this, all right.  Look, here are gaffi sticks, bantha tracks.  It's just... I never heard of them hitting anything this big before."
"IV" "296" "BEN" "They didn't.  But we are meant to think they did.  These tracks are side by side.  Sand People always ride single file to hide there numbers."
"IV" "297" "LUKE" "These are the same Jawas that sold us Artoo and Threepio."
"IV" "298" "BEN" "And these blast points, too accurate for Sand People.  Only Imperial stormtroopers are so precise."
"IV" "299" "LUKE" "Why would Imperial troops want to slaughter Jawas?"
"IV" "300" "LUKE" "If they traced the robots here, they may have learned who they sold them to.  And that would lead them back home!"
"IV" "301" "BEN" "Wait, Luke!  It's too dangerous."
"IV" "302" "LUKE" "Uncle Owen!  Aunt Beru!  Uncle Owen!"
"IV" "303" "VADER" "And, now Your Highness, we will discuss the location of your hidden Rebel base."
"IV" "304" "BEN" "There's nothing you could have done, Luke, had you been there.  You'd have been killed, too, and the droids would now be in the hands of the Empire."
"IV" "305" "LUKE" "I want to come with you to Alderaan.  There's nothing here for me now.  I want to learn the ways of the Force and become a Jedi like my father."
"IV" "306" "BEN" "Mos Eisley Spaceport.  You will never find a more wretched hive of scum and villainy.  We must be cautious."
"IV" "307" "TROOPER" "How long have you had these droids?"
"IV" "308" "LUKE" "About three or four seasons."
"IV" "309" "BEN" "They're for sale if you want them."
"IV" "310" "TROOPER" "Let me see your identification."
"IV" "311" "BEN" "You don't need to see his identification."
"IV" "312" "TROOPER" "We don't need to see his identification."
"IV" "313" "BEN" "looking for."
"IV" "314" "TROOPER" "These are not the droids we're looking for."
"IV" "315" "BEN" "He can go about his business."
"IV" "316" "TROOPER" "You can go about your business."
"IV" "317" "BEN" "Move along."
"IV" "318" "TROOPER" "Move along.  Move along."
"IV" "319" "THREEPIO" "I can't abide these Jawas.  Disgusting creatures."
"IV" "320" "LUKE" "Go on, go on.  I can't understand how we got by those troopers.  I thought we were dead."
